id,noise_type,noise_level,prompt_in,gold,pred,correct,error
1,clean,0,Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Fitzgerald,0,
2,clean,0,Which play features Lady Macbeth?,Macbeth,Macbeth,1,
3,clean,0,What is the term for a 14-line poem?,Sonnet,Sonnet,1,
4,clean,0,Who created Sherlock Holmes?,Arthur Conan Doyle,Sir Arthur Conan Doyle,0,
5,clean,0,Which novel begins with 'Call me Ishmael'?,Moby-Dick,MobyDick,0,
6,clean,0,Who wrote 'Pride and Prejudice'?,Jane Austen,Jane Austen,1,
7,clean,0,What is the pen name of Samuel Clemens?,Mark Twain,MarkTwain,0,
8,clean,0,Which epic poem features Achilles?,The Iliad,Iliad,0,
9,clean,0,Who is the author of '1984'?,George Orwell,GeorgeOrwell,0,
10,clean,0,What is the genre of 'Dracula'?,Gothic,Gothic horror,0,
11,clean,0,Who wrote 'The Waste Land'?,T. S. Eliot,T S Eliot,0,
12,clean,0,Which Shakespeare play has a jealous Moor?,Othello,Othello,1,
13,clean,0,Who wrote 'The Catcher in the Rye'?,J. D. Salinger,JdSalinger,0,
14,clean,0,What is the term for a play's list of characters?,Dramatis personae,Castlist,0,
15,clean,0,Who wrote 'Crime and Punishment'?,Dostoevsky,Dostoevsky,1,
16,clean,0,Which novel features Atticus Finch?,To Kill a Mockingbird,To Kill a Mockingbird,1,
17,clean,0,Who wrote 'The Divine Comedy'?,Dante,Dante,1,
18,clean,0,What is the term for a story within a story?,Frame narrative,Nested narrative,0,
19,clean,0,Who wrote 'Brave New World'?,Aldous Huxley,Aldous Huxley,1,
20,clean,0,Which author created Hercule Poirot?,Agatha Christie,Agatha Christie,1,
21,clean,0,What is the term for a Japanese poem of 17 syllables?,Haiku,Haiku,1,
22,clean,0,Who wrote 'The Old Man and the Sea'?,Ernest Hemingway,Ernest Hemingway,1,
23,clean,0,Which novel features Big Brother?,1984,1984,1,
24,clean,0,Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,Oscar Wilde,1,
25,clean,0,What is the term for a recurring theme in literature?,Motif,Symbolism,0,
26,clean,0,Who directed 'Jurassic Park'?,Steven Spielberg,Steven Spielberg,1,
27,clean,0,Which band released 'Abbey Road'?,The Beatles,The Beatles,1,
28,clean,0,Who played Iron Man in the MCU?,Robert Downey Jr.,Robert DowneyJr,0,
29,clean,0,What is the name of Mario's brother?,Luigi,Luigi,1,
30,clean,0,Which TV show features Walter White?,Breaking Bad,Breaking Bad,1,
31,clean,0,Who created Batman?,Bob Kane,Bob Kane,1,
32,clean,0,Which film won Best Picture in 1994?,Forrest Gump,ForrestGump,0,
33,clean,0,Who sang 'Thriller'?,Michael Jackson,Michael Jackson,1,
34,clean,0,What is the name of Link's sword?,Master Sword,The Master Sword,0,
35,clean,0,Which comic features the Joker?,Batman,Batman,1,
36,clean,0,Who directed 'Inception'?,Christopher Nolan,Christopher Nolan,1,
37,clean,0,Which game features Pikachu?,Pokémon,Pokémon,1,
38,clean,0,Who played Hermione Granger?,Emma Watson,Emma Watson,1,
39,clean,0,Which band released 'Bohemian Rhapsody'?,Queen,Queen,1,
40,clean,0,What is the name of Sonic's sidekick?,Tails,"Miles ""Tails"" Proctor",0,
41,clean,0,Who created Spider-Man?,Stan Lee,Stan Lee,1,
42,clean,0,Which film features the DeLorean?,Back to the Future,BacktotheFuture,0,
43,clean,0,Who sang 'Like a Virgin'?,Madonna,Madonna,1,
44,clean,0,Which TV show features Eleven?,Stranger Things,StrangerThings,0,
45,clean,0,Who directed 'Pulp Fiction'?,Quentin Tarantino,Quentin Tarantino,1,
46,clean,0,Which game series features Master Chief?,Halo,Halo,1,
47,clean,0,Who played Jack Sparrow?,Johnny Depp,Johnny Depp,1,
48,clean,0,Which comic features Magneto?,X-Men,Xmen,0,
49,clean,0,Who sang 'Purple Rain'?,Prince,Prince,1,
50,clean,0,Which film features the Millennium Falcon?,Star Wars,StarWars,0,
